timestamp,2 metre temperature,2 metre dewpoint temperature,Mean wave period,Total precipitation,Mean wave direction,Significant height of combined wind waves and swell,10 metre U wind component,10 metre V wind component
2017-01-14 10:00:00+00:00,277.885498046875,273.959228515625,7.724897384643555,,341.06005859375,3.067662239074707,5.394403457641602,-11.685744285583496
2017-01-14 11:00:00+00:00,277.555419921875,274.017333984375,7.750424385070801,,343.322021484375,2.950387954711914,5.128164291381836,-10.393808364868164
2017-01-14 12:00:00+00:00,277.2978515625,273.904541015625,7.732668876647949,,344.301025390625,2.8327159881591797,5.818428993225098,-9.501062393188477
2017-01-14 13:00:00+00:00,277.312255859375,274.033935546875,7.684988975524902,,344.546875,2.7312240600585938,6.52203369140625,-9.117254257202148
2017-01-14 14:00:00+00:00,277.60498046875,273.784912109375,7.585940361022949,,344.189453125,2.6792306900024414,7.1648101806640625,-8.826682090759277
2017-01-14 15:00:00+00:00,277.81787109375,273.3408203125,7.4998369216918945,,343.84033203125,2.6435327529907227,7.560561180114746,-8.505851745605469
2017-01-14 16:00:00+00:00,277.9169921875,273.0966796875,7.444604873657227,,343.849365234375,2.6111040115356445,7.373266220092773,-8.758733749389648
2017-01-14 17:00:00+00:00,277.933837890625,273.4091796875,7.394283294677734,,344.03515625,2.6054744720458984,7.084333419799805,-9.482038497924805
2017-01-14 18:00:00+00:00,278.02490234375,273.429443359375,7.343534469604492,0.00032977014780044556,344.342529296875,2.6310205459594727,6.445965766906738,-10.025225639343262
2017-01-14 19:00:00+00:00,277.87841796875,273.7763671875,7.32818603515625,,344.98291015625,2.638599395751953,5.956518173217773,-10.40708065032959
2017-01-14 20:00:00+00:00,277.79052734375,274.19482421875,7.322052955627441,,345.71533203125,2.641310691833496,5.274731636047363,-10.495582580566406
2017-01-14 21:00:00+00:00,277.696533203125,274.40771484375,7.355259895324707,,347.004638671875,2.6027002334594727,4.632329940795898,-10.05788516998291
2017-01-14 22:00:00+00:00,277.713623046875,274.879150390625,7.415586471557617,,348.660400390625,2.52445125579834,4.132433891296387,-9.163666725158691
2017-01-14 23:00:00+00:00,277.83447265625,274.645751953125,7.453779220581055,,350.248291015625,2.440174102783203,3.6388015747070312,-9.059833526611328
2017-01-15 00:00:00+00:00,277.95361328125,274.551025390625,7.471978187561035,,351.621337890625,2.3549022674560547,3.077993392944336,-8.593274116516113
2017-01-15 01:00:00+00:00,278.068115234375,274.290771484375,7.508596420288086,,352.73828125,2.2778921127319336,3.4632997512817383,-8.277888298034668
2017-01-15 02:00:00+00:00,278.205322265625,274.095703125,7.524970054626465,,353.511474609375,2.190458297729492,3.6292428970336914,-7.6674957275390625
2017-01-15 03:00:00+00:00,278.3349609375,273.78955078125,7.571562767028809,,354.1943359375,2.098504066467285,4.235480308532715,-6.345674514770508
2017-01-15 04:00:00+00:00,278.253662109375,274.095703125,7.626644134521484,,354.7275390625,2.008085250854492,5.236912727355957,-4.599647521972656
2017-01-15 05:00:00+00:00,278.04345703125,274.24267578125,7.678234100341797,,355.06982421875,1.924788475036621,6.278534889221191,-3.0216007232666016
2017-01-15 06:00:00+00:00,277.677001953125,274.378173828125,7.703802108764648,0.00039071100763976574,355.08349609375,1.8535747528076172,6.444150924682617,-1.7579355239868164
2017-01-15 07:00:00+00:00,277.323974609375,274.305908203125,7.806662559509277,,355.184326171875,1.8231496810913086,6.157325744628906,-0.23613929748535156
2017-01-15 08:00:00+00:00,276.87451171875,274.421142578125,7.864873886108398,,355.682861328125,1.7556781768798828,5.674530029296875,1.4569196701049805
