index,location_key,latitude,longitude,start,end,duration,distance_centroid
55,location_49,54.03256571428572,6.050278571428571,2015-09-16 02:11:31+00:00,2015-09-16 11:17:50+00:00,0 days 09:06:19,4954.944007420167
56,location_5,54.05492875,6.037971625,2015-07-11 08:05:10+00:00,2015-07-11 22:20:39+00:00,0 days 14:15:29,4669.484774462603
57,location_50,54.02291666666667,6.070619333333333,2015-09-18 03:38:12+00:00,2015-09-18 14:27:40+00:00,0 days 10:49:28,6427.347175758131
58,location_51,54.028982,6.0658137,2015-09-18 23:11:17+00:00,2016-05-01 22:01:44+00:00,225 days 22:50:27,6002.859555399825
59,location_52,54.061904444444444,6.059734000000001,2015-09-19 17:38:52+00:00,2016-05-27 13:01:47+00:00,250 days 19:22:55,6287.621804414901
60,location_53,54.05625199999999,6.0631604,2015-09-21 05:02:11+00:00,2016-05-27 00:07:20+00:00,248 days 19:05:09,6227.332698138393
61,location_54,54.05047,6.066442555555557,2015-09-21 18:17:39+00:00,2016-05-25 21:18:28+00:00,247 days 03:00:49,6225.3419519783
62,location_55,54.015725,6.03343225,2015-09-22 21:03:35+00:00,2015-09-23 03:16:55+00:00,0 days 06:13:20,4428.959499140421
63,location_56,54.005316521739125,5.939190608695652,2015-09-24 06:08:33+00:00,2016-08-13 21:04:30+00:00,324 days 14:55:57,4074.6220143635633
64,location_57,54.02117777777778,5.930014,2015-09-24 23:23:01+00:00,2016-07-29 13:18:10+00:00,308 days 13:55:09,3317.1219024684956
65,location_58,54.036817333333346,5.852967133333333,2015-09-25 16:12:24+00:00,2016-08-06 05:12:35+00:00,315 days 13:00:11,7942.229266593926
66,location_59,54.02714214285713,6.027620571428572,2015-09-27 14:21:01+00:00,2016-04-22 09:16:54+00:00,207 days 18:55:53,3587.1032262225626
67,location_6,54.04092142857144,6.032052999999999,2015-07-12 00:13:25+00:00,2015-07-12 15:02:04+00:00,0 days 14:48:39,3801.7994374884593
68,location_60,54.020798,6.0319834,2015-09-28 01:18:30+00:00,2015-09-28 09:06:46+00:00,0 days 07:48:16,4090.6264623782877
69,location_61,54.01038488636364,6.089097761363636,2015-09-29 20:15:35+00:00,2016-05-16 05:16:55+00:00,229 days 09:01:20,7985.382601971825
70,location_62,54.004601538461536,6.066302615384616,2015-09-30 15:01:16+00:00,2016-05-05 17:19:09+00:00,218 days 02:17:53,6907.480869973351
71,location_63,54.06804615384614,6.057214153846155,2015-10-01 01:04:21+00:00,2016-05-28 09:35:18+00:00,240 days 08:30:57,6496.543100083572
72,location_64,54.0307521875,5.84554484375,2015-10-02 21:00:11+00:00,2016-07-06 20:16:46+00:00,277 days 23:16:35,8442.664437634608
73,location_65,54.04105333333333,5.848557333333333,2015-10-03 13:06:41+00:00,2015-10-03 20:12:54+00:00,0 days 07:06:13,8251.59456904995
74,location_66,54.00502666666667,5.903951666666667,2015-10-05 15:08:50+00:00,2015-10-05 18:02:54+00:00,0 days 02:54:04,5723.664055752167
75,location_67,54.005399,5.9147096,2015-10-05 20:11:59+00:00,2016-07-31 09:22:28+00:00,299 days 13:10:29,5146.946828579144
76,location_68,54.010036153846144,5.936634846153846,2015-10-06 10:15:25+00:00,2016-08-12 08:03:23+00:00,310 days 21:47:58,3762.272950518027
77,location_69,54.010778888888886,5.923212388888889,2015-10-08 05:10:26+00:00,2016-08-23 03:20:57+00:00,319 days 22:10:31,4336.804683611044
78,location_7,54.02285875,6.04252575,2015-07-14 09:21:57+00:00,2015-07-14 23:07:24+00:00,0 days 13:45:27,4655.551037416366
79,location_70,54.02498,5.900005666666668,2015-10-08 18:19:46+00:00,2015-10-09 01:29:02+00:00,0 days 07:09:16,5008.2545470460545
80,location_71,54.020205999999995,5.8592037999999995,2015-10-09 06:50:11+00:00,2015-10-09 14:17:28+00:00,0 days 07:27:17,7724.519223123648
81,location_72,54.03197571428571,5.886617357142858,2015-12-16 17:01:37+00:00,2015-12-18 05:23:45+00:00,1 days 12:22:08,5757.093768652445
82,location_73,54.046276521739124,6.001958913043478,2016-02-19 15:08:15+00:00,2016-02-27 06:19:37+00:00,7 days 15:11:22,2153.0199265200245
83,location_74,54.04776742857142,6.014578885714286,2016-03-17 23:20:04+00:00,2016-03-22 13:26:35+00:00,4 days 14:06:31,2947.2952339424132
84,location_75,54.07245,6.026673090909091,2016-03-30 22:20:54+00:00,2016-03-31 21:15:32+00:00,0 days 22:54:38,5334.065000477269
85,location_76,54.03404153846154,6.008793153846154,2016-04-01 06:13:12+00:00,2016-04-02 07:02:22+00:00,1 days 00:49:10,2240.802008775678
86,location_77,54.00569222222222,6.040730944444445,2016-04-25 23:20:33+00:00,2016-04-28 00:34:08+00:00,2 days 01:13:35,5446.374623223206
87,location_78,54.00957583333334,6.036282624999999,2016-04-28 04:22:14+00:00,2016-04-30 06:20:39+00:00,2 days 01:58:25,4955.629372270057
88,location_79,54.01098125,6.0754396250000005,2016-04-30 10:03:31+00:00,2016-05-01 00:00:57+00:00,0 days 13:57:26,7130.6603668937205
89,location_8,54.05409875,6.011230625,2015-07-15 01:07:09+00:00,2015-07-15 19:17:04+00:00,0 days 18:09:55,3163.5816848263203
90,location_80,54.004637692307696,6.092297615384615,2016-05-06 05:06:10+00:00,2016-05-07 19:16:21+00:00,1 days 14:10:11,8421.570816738857
91,location_81,54.07424172413794,6.052229068965518,2016-05-28 17:20:43+00:00,2016-06-01 10:17:28+00:00,3 days 16:56:45,6652.643609407753
92,location_82,54.03658399999998,5.895913266666666,2016-06-01 16:04:44+00:00,2016-06-04 01:13:41+00:00,2 days 09:08:57,5137.8397334328865
93,location_83,54.045185000000004,5.886988,2016-06-11 16:08:32+00:00,2016-06-12 12:09:11+00:00,0 days 20:00:39,5819.274706190708
94,location_84,54.05032100000001,5.882994300000001,2016-06-12 15:24:14+00:00,2016-06-13 09:21:56+00:00,0 days 17:57:42,6202.165131213972
95,location_85,54.05535666666666,5.879050666666667,2016-06-13 10:15:57+00:00,2016-06-14 00:13:22+00:00,0 days 13:57:25,6615.676763047699
96,location_86,54.05566789473685,5.894621052631579,2016-06-14 06:13:32+00:00,2016-06-15 13:02:29+00:00,1 days 06:48:57,5681.164910252278
97,location_87,54.04427727272727,5.902317181818182,2016-06-15 15:24:19+00:00,2016-06-16 09:03:52+00:00,0 days 17:39:33,4817.786713724266
98,location_88,54.038426923076926,5.864018153846154,2016-06-21 23:13:30+00:00,2016-06-22 18:23:07+00:00,0 days 19:09:37,7226.430829681362
99,location_89,54.04455571428571,5.860872357142855,2016-06-23 00:14:18+00:00,2016-06-23 22:33:02+00:00,0 days 22:18:44,7491.997308237345
100,location_9,54.070539999999994,6.001711333333333,2015-07-16 00:06:34+00:00,2015-07-16 14:11:48+00:00,0 days 14:05:14,4280.643494424623
101,location_90,54.035873,5.8827021,2016-06-24 01:48:04+00:00,2016-06-24 20:09:43+00:00,0 days 18:21:39,5999.330336955772
102,location_91,54.044777272727266,5.872710545454546,2016-06-24 23:03:48+00:00,2016-06-25 15:01:12+00:00,0 days 15:57:24,6730.551659672261
103,location_92,54.05910166666666,5.859839083333333,2016-06-25 18:18:45+00:00,2016-06-26 16:22:28+00:00,0 days 22:03:43,7936.738727424725
104,location_93,54.061508333333336,5.875325416666667,2016-06-26 18:07:28+00:00,2016-06-28 02:11:39+00:00,1 days 08:04:11,7095.265442224752
105,location_94,54.04821470588235,5.854225588235295,2016-07-01 15:18:27+00:00,2016-07-04 03:11:19+00:00,2 days 11:52:52,7983.882261609842
106,location_95,54.05352166666666,5.849185333333334,2016-07-04 07:44:33+00:00,2016-07-04 15:17:42+00:00,0 days 07:33:09,8428.008987492964
107,location_96,54.01486866666666,5.864345466666667,2016-07-07 06:12:18+00:00,2016-07-08 07:10:08+00:00,1 days 00:57:50,7556.244086362414
108,location_97,54.010206000000004,5.870200066666666,2016-07-08 10:06:16+00:00,2016-07-09 18:13:17+00:00,1 days 08:07:01,7374.873398836621
109,location_98,54.020066666666665,5.872945,2016-07-18 11:01:00+00:00,2016-07-19 03:04:28+00:00,0 days 16:03:28,6855.738854433037
110,location_99,54.014425,5.8926085,2016-07-21 11:09:18+00:00,2016-07-21 23:33:40+00:00,0 days 12:24:22,5843.872791217607
